fee_id,payment_id,fee_type,amount,tax_amount,rate_card_id,reversal_of_fee_id,source
FEE-0362,PAY-0362,MDR,151.03,27.19,RC-CARD-2025,,
FEE-0363,PAY-0363,MDR,4.18,0.75,RC-UPI-2025,,
FEE-0364,PAY-0364,MDR,15.65,2.82,RC-CARD-2025,,
FEE-0366,PAY-0366,MDR,64.61,11.63,RC-CARD-2025,,
FEE-0367,PAY-0367,MDR,3.85,0.69,RC-UPI-2025,,
FEE-0368,PAY-0368,MDR,12.0,2.16,RC-NB-2025,,
FEE-0369,PAY-0369,MDR,12.0,2.16,RC-NB-2025,,
FEE-0370,PAY-0370,MDR,10.57,1.9,RC-UPI-2025,,
FEE-0371,PAY-0371,MDR,12.0,2.16,RC-NB-2025,,
FEE-0372,PAY-0372,MDR,2.98,0.54,RC-UPI-2025,,
FEE-0373,PAY-0373,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0374,PAY-0374,MDR,5.68,1.02,RC-WALLET-2025,,
FEE-0375,PAY-0375,MDR,25.38,4.57,RC-WALLET-2025,,
FEE-0376,PAY-0376,MDR,5.16,0.93,RC-UPI-2025,,
FEE-0377,PAY-0377,MDR,22.72,4.09,RC-CARD-2025,,
FEE-0378,PAY-0378,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0379,PAY-0379,MDR,22.57,4.06,RC-CARD-2025,,
FEE-0380,PAY-0380,MDR,94.91,17.08,RC-CARD-2025,,
FEE-0381,PAY-0381,MDR,443.38,79.81,RC-CARD-2025,,
FEE-0382,PAY-0382,MDR,5.68,1.02,RC-WALLET-2025,,
FEE-0383,PAY-0383,MDR,7.2,1.3,RC-UPI-2025,,
FEE-0384,PAY-0384,MDR,121.73,21.91,RC-CARD-2025,,
FEE-0385,PAY-0385,MDR,47.04,8.47,RC-CARD-2025,,
FEE-0386,PAY-0386,MDR,40.78,7.34,RC-EMI-2025,,
FEE-0387,PAY-0387,MDR,5.32,0.96,RC-UPI-2025,,
FEE-0388,PAY-0388,MDR,29.79,5.36,RC-WALLET-2025,,
FEE-0389,PAY-0389,MDR,9.21,1.66,RC-CARD-2025,,
FEE-0390,PAY-0390,MDR,66.53,11.98,RC-CARD-2025,,
FEE-0391,PAY-0391,MDR,18.13,3.26,RC-CARD-2025,,
FEE-0392,PAY-0392,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0393,PAY-0393,MDR,12.0,2.16,RC-NB-2025,,
FEE-0394,PAY-0394,MDR,24.23,4.36,RC-CARD-2025,,
FEE-0395,PAY-0395,MDR,12.0,2.16,RC-NB-2025,,
FEE-0396,PAY-0396,MDR,8.1,1.46,RC-UPI-2025,,
FEE-0398,PAY-0398,MDR,9.39,1.69,RC-CARD-2025,,
FEE-0399,PAY-0399,MDR,1.74,0.31,RC-UPI-2025,,
FEE-0400,PAY-0400,MDR,19.53,3.52,RC-UPI-2025,,
FEE-0401,PAY-0401,MDR,12.77,2.3,RC-UPI-2025,,
FEE-0402,PAY-0402,MDR,12.0,2.16,RC-NB-2025,,
FEE-0403,PAY-0403,MDR,11.73,2.11,RC-CARD-2025,,
FEE-0404,PAY-0404,MDR,12.0,2.16,RC-NB-2025,,
FEE-0404-D,PAY-0404,MDR,12.0,2.16,RC-NB-2025,,
FEE-0405,PAY-0405,MDR,19.27,3.47,RC-CARD-2025,,
FEE-0406,PAY-0406,MDR,12.07,2.17,RC-EMI-2025,,
FEE-0407,PAY-0407,MDR,6.66,1.2,RC-CARD-2025,,
FEE-0408,PAY-0408,MDR,12.0,2.16,RC-NB-2025,,
FEE-0409,PAY-0409,MDR,33.87,6.1,RC-CARD-2025,,
FEE-0410,PAY-0410,MDR,108.94,19.61,RC-EMI-2025,,
FEE-0412,PAY-0412,MDR,12.0,2.16,RC-NB-2025,,
FEE-0413,PAY-0413,MDR,8.21,1.48,RC-UPI-2025,,
FEE-0414,PAY-0414,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0415,PAY-0415,MDR,30.46,5.48,RC-WALLET-2025,,
FEE-0415-2,PAY-0415-2,MDR,20.31,3.66,RC-WALLET-2025,,
FEE-0416,PAY-0416,MDR,14.21,2.56,RC-CARD-2025,,
FEE-0417,PAY-0417,MDR,2.08,0.37,RC-UPI-2025,,
FEE-0418,PAY-0418,MDR,11.49,2.07,RC-CARD-2025,,
FEE-0419,PAY-0419,MDR,1.32,0.24,RC-UPI-2025,,
FEE-0420,PAY-0420,MDR,23.7,4.27,RC-WALLET-2025,,
FEE-0421,PAY-0421,MDR,48.59,8.75,RC-CARD-2025,,
FEE-0422,PAY-0422,MDR,22.16,3.99,RC-CARD-2025,,
FEE-0423,PAY-0423,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0424,PAY-0424,MDR,12.0,2.16,RC-NB-2025,,
FEE-0425,PAY-0425,MDR,12.0,2.16,RC-NB-2025,,
FEE-0426,PAY-0426,MDR,12.0,2.16,RC-NB-2025,,
FEE-0427,PAY-0427,MDR,51.99,9.36,RC-CARD-2025,,
FEE-0428,PAY-0428,MDR,7.74,1.39,RC-UPI-2025,,
FEE-0429,PAY-0429,MDR,17.04,3.07,RC-UPI-2025,,
FEE-0430,PAY-0430,MDR,11.88,2.14,RC-CARD-2025,,
FEE-0431,PAY-0431,MDR,11.85,2.13,RC-CARD-2025,,
FEE-0432,PAY-0432,MDR,12.0,2.16,RC-NB-2025,,
FEE-0433,PAY-0433,MDR,12.0,2.16,RC-NB-2025,,
FEE-0434,PAY-0434,MDR,54.36,9.78,RC-EMI-2025,,
FEE-0435,PAY-0435,MDR,13.12,2.36,RC-UPI-2025,,
FEE-0436,PAY-0436,MDR,32.46,5.84,RC-CARD-2025,,
FEE-0437,PAY-0437,MDR,14.94,2.69,RC-UPI-2025,,
FEE-0438,PAY-0438,MDR,8.68,1.56,RC-CARD-2025,,
FEE-0439,PAY-0439,MDR,7.86,1.41,RC-UPI-2025,,
FEE-0440,PAY-0440,MDR,13.64,2.46,RC-UPI-2025,,
FEE-0441,PAY-0441,MDR,37.59,6.77,RC-CARD-2025,,
FEE-0442,PAY-0442,MDR,18.16,3.27,RC-CARD-2025,,
FEE-0443,PAY-0443,MDR,2.72,0.49,RC-UPI-2025,,
FEE-0444,PAY-0444,MDR,12.0,2.16,RC-NB-2025,,
FEE-0445,PAY-0445,MDR,12.79,2.3,RC-CARD-2025,,
FEE-0446,PAY-0446,MDR,15.39,2.77,RC-CARD-2025,,
FEE-0447,PAY-0447,MDR,15.25,2.75,RC-CARD-2025,,
FEE-0448,PAY-0448,MDR,14.69,2.64,RC-CARD-2025,,
FEE-0449,PAY-0449,MDR,12.0,2.16,RC-NB-2025,,
FEE-0450,PAY-0450,MDR,12.0,2.16,RC-NB-2025,,
FEE-0451,PAY-0451,MDR,112.55,20.26,RC-CARD-2025,,
FEE-0452,PAY-0452,MDR,57.9,10.42,RC-CARD-2025,,
FEE-0453,PAY-0453,MDR,14.39,2.59,RC-CARD-2025,,
FEE-0454,PAY-0454,MDR,25.21,4.54,RC-CARD-2025,,
FEE-0455,PAY-0455,MDR,56.73,10.21,RC-CARD-2025,,
FEE-0456,PAY-0456,MDR,3.21,0.58,RC-UPI-2025,,
FEE-0457,PAY-0457,MDR,2.23,0.4,RC-UPI-2025,,
FEE-0458,PAY-0458,MDR,4.57,0.82,RC-UPI-2025,,
FEE-0459,PAY-0459,MDR,7.03,1.27,RC-EMI-2025,,
FEE-0460,PAY-0460,MDR,16.68,3.0,RC-NB-2025,,
FEE-0461,PAY-0461,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0462,PAY-0462,MDR,5.84,1.05,RC-WALLET-2025,,
FEE-0464,PAY-0464,MDR,4.72,0.85,RC-UPI-2025,,
FEE-0465,PAY-0465,MDR,46.15,8.31,RC-UPI-2025,,
FEE-0466,PAY-0466,MDR,6.43,1.16,RC-CARD-2025,,
FEE-0467,PAY-0467,MDR,13.92,2.51,RC-CARD-2025,,
FEE-0468,PAY-0468,MDR,48.66,8.76,RC-CARD-2025,,
FEE-0469,PAY-0469,MDR,12.77,2.3,RC-WALLET-2025,,
FEE-0470,PAY-0470,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0471,PAY-0471,MDR,37.39,6.73,RC-CARD-2025,,
FEE-0472,PAY-0472,MDR,12.0,2.16,RC-NB-2025,,
FEE-0473,PAY-0473,MDR,9.96,1.79,RC-CARD-2025,,
FEE-0474,PAY-0474,MDR,51.24,9.22,RC-CARD-2025,,
FEE-0475,PAY-0475,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0476,PAY-0476,MDR,32.14,5.79,RC-WALLET-2025,,
FEE-0476-D,PAY-0476,MDR,32.14,5.79,RC-WALLET-2025,,
FEE-0477,PAY-0477,MDR,27.99,5.04,RC-CARD-2025,,
FEE-0478,PAY-0478,MDR,41.79,7.52,RC-CARD-2025,,
FEE-0479,PAY-0479,MDR,1.31,0.24,RC-UPI-2025,,
FEE-0479-2,PAY-0479-2,MDR,0.87,0.16,RC-UPI-2025,,
FEE-0480,PAY-0480,MDR,48.25,8.69,RC-EMI-2025,,
FEE-0481,PAY-0481,MDR,9.71,1.75,RC-UPI-2025,,
FEE-0482,PAY-0482,MDR,70.93,12.77,RC-CARD-2025,,
FEE-0483,PAY-0483,MDR,11.6,2.09,RC-UPI-2025,,
FEE-0484,PAY-0484,MDR,33.95,6.11,RC-EMI-2025,,
FEE-0485,PAY-0485,MDR,14.64,2.64,RC-CARD-2025,,
FEE-0486,PAY-0486,MDR,6.88,1.24,RC-CARD-2025,,
FEE-0487,PAY-0487,MDR,12.0,2.16,RC-NB-2025,,
FEE-0488,PAY-0488,MDR,10.44,1.88,RC-CARD-2025,,
FEE-0489,PAY-0489,MDR,1.64,0.3,RC-UPI-2025,,
FEE-0490,PAY-0490,MDR,12.0,2.16,RC-NB-2025,,
FEE-0491,PAY-0491,MDR,2.18,0.39,RC-UPI-2025,,
FEE-0492,PAY-0492,MDR,12.0,2.16,RC-NB-2025,,
FEE-0493,PAY-0493,MDR,2.31,0.42,RC-UPI-2025,,
FEE-0494,PAY-0494,MDR,12.0,2.16,RC-NB-2025,,
FEE-0495,PAY-0495,MDR,107.33,19.32,RC-CARD-2025,,
FEE-0496,PAY-0496,MDR,2.35,0.42,RC-UPI-2025,,
FEE-0497,PAY-0497,MDR,48.31,8.7,RC-CARD-2025,,
FEE-0498,PAY-0498,MDR,15.4,2.77,RC-CARD-2025,,
FEE-0499,PAY-0499,MDR,12.0,2.16,RC-NB-2025,,
FEE-0500,PAY-0500,MDR,17.68,3.18,RC-CARD-2025,,
FEE-0502,PAY-0502,MDR,59.04,10.63,RC-CARD-2025,,
FEE-0503,PAY-0503,MDR,2.64,0.48,RC-UPI-2025,,
FEE-0504,PAY-0504,MDR,3.0,0.54,RC-UPI-2025,,
FEE-0505,PAY-0505,MDR,7.55,1.36,RC-UPI-2025,,
FEE-0506,PAY-0506,MDR,22.21,4.0,RC-CARD-2025,,
FEE-0507,PAY-0507,MDR,5.13,0.92,RC-CARD-2025,,
FEE-0507-2,PAY-0507-2,MDR,3.42,0.62,RC-CARD-2025,,
FEE-0508,PAY-0508,MDR,5.83,1.05,RC-UPI-2025,,
FEE-0509,PAY-0509,MDR,25.87,4.66,RC-CARD-2025,,
FEE-0510,PAY-0510,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0511,PAY-0511,MDR,40.98,7.38,RC-CARD-2025,,
FEE-0512,PAY-0512,MDR,1.82,0.33,RC-UPI-2025,,
FEE-0513,PAY-0513,MDR,12.0,2.16,RC-NB-2025,,
FEE-0515,PAY-0515,MDR,129.57,23.32,RC-WALLET-2025,,
FEE-0516,PAY-0516,MDR,12.0,2.16,RC-NB-2025,,
FEE-0517,PAY-0517,MDR,5.51,0.99,RC-CARD-2025,,
FEE-0517-2,PAY-0517-2,MDR,3.67,0.66,RC-CARD-2025,,
FEE-0518,PAY-0518,MDR,6.05,1.09,RC-CARD-2025,,
FEE-0519,PAY-0519,MDR,31.02,5.58,RC-WALLET-2025,,
FEE-0520,PAY-0520,MDR,8.81,1.59,RC-UPI-2025,,
FEE-0521,PAY-0521,MDR,30.93,5.57,RC-UPI-2025,,
FEE-0522,PAY-0522,MDR,8.04,1.45,RC-UPI-2025,,
FEE-0523,PAY-0523,MDR,51.64,9.3,RC-EMI-2025,,
FEE-0524,PAY-0524,MDR,12.0,2.16,RC-NB-2025,,
FEE-0525,PAY-0525,MDR,4.15,0.75,RC-UPI-2025,,
FEE-0526,PAY-0526,MDR,88.88,16.0,RC-CARD-2025,,
FEE-0527,PAY-0527,MDR,2.39,0.43,RC-UPI-2025,,
FEE-0528,PAY-0528,MDR,11.01,1.98,RC-CARD-2025,,
FEE-0530,PAY-0530,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0531,PAY-0531,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0532,PAY-0532,MDR,58.81,10.59,RC-CARD-2025,,
FEE-0533,PAY-0533,MDR,18.37,3.31,RC-CARD-2025,,
FEE-0534,PAY-0534,MDR,109.58,19.72,RC-CARD-2025,,
FEE-0535,PAY-0535,MDR,19.93,3.59,RC-EMI-2025,,
FEE-0536,PAY-0536,MDR,41.53,7.48,RC-CARD-2025,,
FEE-0537,PAY-0537,MDR,10.28,1.85,RC-CARD-2025,,
FEE-0538,PAY-0538,MDR,12.0,2.16,RC-NB-2025,,
FEE-0539,PAY-0539,MDR,209.04,37.63,RC-CARD-2025,,
FEE-0540,PAY-0540,MDR,3.08,0.55,RC-UPI-2025,,
FEE-0541,PAY-0541,MDR,31.33,5.64,RC-CARD-2025,,
FEE-0542,PAY-0542,MDR,2.63,0.47,RC-UPI-2025,,
FEE-0542-2,PAY-0542-2,MDR,1.75,0.32,RC-UPI-2025,,
FEE-0543,PAY-0543,MDR,20.67,3.72,RC-CARD-2025,,
FEE-0544,PAY-0544,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0545,PAY-0545,MDR,20.71,3.73,RC-UPI-2025,,
FEE-0546,PAY-0546,MDR,18.34,3.3,RC-UPI-2025,,
FEE-0547,PAY-0547,MDR,28.18,5.07,RC-WALLET-2025,,
FEE-0548,PAY-0548,MDR,1.24,0.22,RC-UPI-2025,,
FEE-0549,PAY-0549,MDR,28.79,5.18,RC-CARD-2025,,
FEE-0550,PAY-0550,MDR,100.81,18.15,RC-CARD-2025,,
FEE-0551,PAY-0551,MDR,12.0,2.16,RC-NB-2025,,
FEE-0552,PAY-0552,MDR,37.64,6.78,RC-CARD-2025,,
FEE-0553,PAY-0553,MDR,35.81,6.45,RC-CARD-2025,,
FEE-0554,PAY-0554,MDR,59.52,10.71,RC-CARD-2025,,
FEE-0555,PAY-0555,MDR,12.0,2.16,RC-NB-2025,,
FEE-0555-2,PAY-0555-2,MDR,12.0,2.16,RC-NB-2025,,
FEE-0557,PAY-0557,MDR,62.62,11.27,RC-CARD-2025,,
FEE-0558,PAY-0558,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0559,PAY-0559,MDR,21.35,3.84,RC-CARD-2025,,
FEE-0559-2,PAY-0559-2,MDR,14.23,2.56,RC-CARD-2025,,
FEE-0560,PAY-0560,MDR,1.78,0.32,RC-UPI-2025,,
FEE-0561,PAY-0561,MDR,29.87,5.38,RC-UPI-2025,,
FEE-0562,PAY-0562,MDR,7.8,1.4,RC-UPI-2025,,
FEE-0563,PAY-0563,MDR,19.58,3.52,RC-CARD-2025,,
FEE-0564,PAY-0564,MDR,12.0,2.16,RC-NB-2025,,
FEE-0565,PAY-0565,MDR,34.15,6.15,RC-CARD-2025,,
FEE-0566,PAY-0566,MDR,12.0,2.16,RC-NB-2025,,
FEE-0567,PAY-0567,MDR,35.7,6.43,RC-CARD-2025,,
FEE-0568,PAY-0568,MDR,24.34,4.38,RC-CARD-2025,,
FEE-0569,PAY-0569,MDR,12.0,2.16,RC-NB-2025,,
FEE-0570,PAY-0570,MDR,6.69,1.2,RC-WALLET-2025,,
FEE-0571,PAY-0571,MDR,74.22,13.36,RC-EMI-2025,,
FEE-0572,PAY-0572,MDR,3.78,0.68,RC-UPI-2025,,
FEE-0573,PAY-0573,MDR,45.13,8.12,RC-WALLET-2025,,
FEE-0574,PAY-0574,MDR,1.39,0.25,RC-UPI-2025,,
FEE-0575,PAY-0575,MDR,72.99,13.14,RC-CARD-2025,,
FEE-0576,PAY-0576,MDR,15.43,2.78,RC-WALLET-2025,,
FEE-0577,PAY-0577,MDR,33.6,6.05,RC-CARD-2025,,
FEE-0578,PAY-0578,MDR,2.97,0.53,RC-UPI-2025,,
FEE-0579,PAY-0579,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0580,PAY-0580,MDR,31.34,5.64,RC-UPI-2025,,
FEE-0581,PAY-0581,MDR,27.31,4.92,RC-CARD-2025,,
FEE-0582,PAY-0582,MDR,107.54,19.36,RC-CARD-2025,,
FEE-0583,PAY-0583,MDR,4.52,0.81,RC-UPI-2025,,
FEE-0584,PAY-0584,MDR,18.84,3.39,RC-CARD-2025,,
FEE-0585,PAY-0585,MDR,48.59,8.75,RC-CARD-2025,,
FEE-0585-D,PAY-0585,MDR,48.59,8.75,RC-CARD-2025,,
FEE-0586,PAY-0586,MDR,2.25,0.4,RC-UPI-2025,,
FEE-0587,PAY-0587,MDR,8.87,1.6,RC-CARD-2025,,
FEE-0588,PAY-0588,MDR,3.08,0.55,RC-UPI-2025,,
FEE-0589,PAY-0589,MDR,63.77,11.48,RC-CARD-2025,,
FEE-0590,PAY-0590,MDR,12.28,2.21,RC-CARD-2025,,
FEE-0591,PAY-0591,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0592,PAY-0592,MDR,5.68,1.02,RC-WALLET-2025,,
FEE-0593,PAY-0593,MDR,24.31,4.38,RC-UPI-2025,,
FEE-0594,PAY-0594,MDR,27.05,4.87,RC-CARD-2025,,
FEE-0595,PAY-0595,MDR,39.79,7.16,RC-CARD-2025,,
FEE-0596,PAY-0596,MDR,22.26,4.01,RC-CARD-2025,,
FEE-0597,PAY-0597,MDR,101.35,18.24,RC-EMI-2025,,
FEE-0598,PAY-0598,MDR,50.09,9.02,RC-CARD-2025,,
FEE-0599,PAY-0599,MDR,12.0,2.16,RC-NB-2025,,
FEE-0600,PAY-0600,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0601,PAY-0601,MDR,8.87,1.6,RC-EMI-2025,,
FEE-0602,PAY-0602,MDR,8.63,1.55,RC-CARD-2025,,
FEE-0603,PAY-0603,MDR,117.89,21.22,RC-CARD-2025,,
FEE-0604,PAY-0604,MDR,11.16,2.01,RC-EMI-2025,,
FEE-0605,PAY-0605,MDR,4.06,0.73,RC-UPI-2025,,
FEE-0606,PAY-0606,MDR,11.61,2.09,RC-CARD-2025,,
FEE-0607,PAY-0607,MDR,12.0,2.16,RC-NB-2025,,
FEE-0608,PAY-0608,MDR,4.19,0.75,RC-UPI-2025,,
FEE-0609,PAY-0609,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0610,PAY-0610,MDR,10.04,1.81,RC-UPI-2025,,
FEE-0612,PAY-0612,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0613,PAY-0613,MDR,53.27,9.59,RC-CARD-2025,,
FEE-0614,PAY-0614,MDR,4.5,0.81,RC-UPI-2025,,
FEE-0615,PAY-0615,MDR,5.44,0.98,RC-UPI-2025,,
FEE-0616,PAY-0616,MDR,81.28,14.63,RC-CARD-2025,,
FEE-0617,PAY-0617,MDR,19.15,3.45,RC-UPI-2025,,
FEE-0618,PAY-0618,MDR,411.71,74.11,RC-CARD-2025,,
FEE-0619,PAY-0619,MDR,85.74,15.43,RC-WALLET-2025,,
FEE-0620,PAY-0620,MDR,38.99,7.02,RC-WALLET-2025,,
FEE-0621,PAY-0621,MDR,12.0,2.16,RC-NB-2025,,
FEE-0622,PAY-0622,MDR,12.0,2.16,RC-NB-2025,,
FEE-0623,PAY-0623,MDR,17.96,3.23,RC-CARD-2025,,
FEE-0624,PAY-0624,MDR,53.66,9.66,RC-CARD-2025,,
FEE-0625,PAY-0625,MDR,31.72,5.71,RC-CARD-2025,,
FEE-0626,PAY-0626,MDR,3.49,0.63,RC-UPI-2025,,
FEE-0627,PAY-0627,MDR,3.94,0.71,RC-UPI-2025,,
FEE-0628,PAY-0628,MDR,10.0,1.8,RC-UPI-2025,,
FEE-0629,PAY-0629,MDR,9.86,1.77,RC-UPI-2025,,
FEE-0629-D,PAY-0629,MDR,9.86,1.77,RC-UPI-2025,,
FEE-0630,PAY-0630,MDR,16.78,3.02,RC-CARD-2025,,
FEE-0631,PAY-0631,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0632,PAY-0632,MDR,19.36,3.48,RC-CARD-2025,,
FEE-0633,PAY-0633,MDR,44.88,8.08,RC-CARD-2025,,
FEE-0634,PAY-0634,MDR,5.02,0.9,RC-UPI-2025,,
FEE-0636,PAY-0636,MDR,5.68,1.02,RC-UPI-2025,,
FEE-0636-2,PAY-0636-2,MDR,3.79,0.68,RC-UPI-2025,,
FEE-0637,PAY-0637,MDR,11.14,2.01,RC-UPI-2025,,
FEE-0638,PAY-0638,MDR,11.23,2.02,RC-CARD-2025,,
FEE-0639,PAY-0639,MDR,4.97,0.89,RC-UPI-2025,,
FEE-0640,PAY-0640,MDR,11.08,1.99,RC-UPI-2025,,
FEE-0641,PAY-0641,MDR,9.3,1.67,RC-EMI-2025,,
FEE-0642,PAY-0642,MDR,10.65,1.92,RC-CARD-2025,,
FEE-0643,PAY-0643,MDR,3.17,0.57,RC-UPI-2025,,
FEE-0644,PAY-0644,MDR,78.78,14.18,RC-WALLET-2025,,
FEE-0645,PAY-0645,MDR,163.39,29.41,RC-CARD-2025,,
FEE-0646,PAY-0646,MDR,4.21,0.76,RC-UPI-2025,,
FEE-0647,PAY-0647,MDR,39.1,7.04,RC-EMI-2025,,
FEE-0648,PAY-0648,MDR,13.34,2.4,RC-CARD-2025,,
FEE-0649,PAY-0649,MDR,97.08,17.47,RC-CARD-2025,,
FEE-0650,PAY-0650,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0651,PAY-0651,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0652,PAY-0652,MDR,56.36,10.14,RC-CARD-2025,,
FEE-0653,PAY-0653,MDR,53.55,9.64,RC-WALLET-2025,,
FEE-0654,PAY-0654,MDR,14.89,2.68,RC-WALLET-2025,,
FEE-0655,PAY-0655,MDR,109.97,19.79,RC-WALLET-2025,,
FEE-0656,PAY-0656,MDR,2.11,0.38,RC-UPI-2025,,
FEE-0657,PAY-0657,MDR,12.0,2.16,RC-NB-2025,,
FEE-0658,PAY-0658,MDR,52.21,9.4,RC-WALLET-2025,,
FEE-0659,PAY-0659,MDR,1.27,0.23,RC-UPI-2025,,
FEE-0660,PAY-0660,MDR,9.73,1.75,RC-WALLET-2025,,
FEE-0661,PAY-0661,MDR,2.72,0.49,RC-UPI-2025,,
FEE-0662,PAY-0662,MDR,12.0,2.16,RC-NB-2025,,
FEE-0663,PAY-0663,MDR,133.53,24.04,RC-CARD-2025,,
FEE-0664,PAY-0664,MDR,48.88,8.8,RC-CARD-2025,,
FEE-0665,PAY-0665,MDR,6.87,1.24,RC-CARD-2025,,
FEE-0666,PAY-0666,MDR,4.81,0.87,RC-UPI-2025,,
FEE-0667,PAY-0667,MDR,8.2,1.48,RC-UPI-2025,,
FEE-0668,PAY-0668,MDR,19.63,3.53,RC-CARD-2025,,
FEE-0669,PAY-0669,MDR,108.42,19.52,RC-CARD-2025,,
FEE-0670,PAY-0670,MDR,6.13,1.1,RC-CARD-2025,,
FEE-0671,PAY-0671,MDR,14.55,2.62,RC-EMI-2025,,
FEE-0672,PAY-0672,MDR,13.68,2.46,RC-UPI-2025,,
FEE-0673,PAY-0673,MDR,163.68,29.46,RC-EMI-2025,,
FEE-0674,PAY-0674,MDR,10.34,1.86,RC-UPI-2025,,
FEE-0675,PAY-0675,MDR,13.81,2.49,RC-CARD-2025,,
FEE-0676,PAY-0676,MDR,55.88,10.06,RC-CARD-2025,,
FEE-0677,PAY-0677,MDR,9.1,1.64,RC-CARD-2025,,
FEE-0678,PAY-0678,MDR,11.96,2.15,RC-UPI-2025,,
FEE-0678-2,PAY-0678-2,MDR,7.97,1.43,RC-UPI-2025,,
FEE-0679,PAY-0679,MDR,5.55,1.0,RC-UPI-2025,,
FEE-0680,PAY-0680,MDR,47.45,8.54,RC-CARD-2025,,
FEE-0681,PAY-0681,MDR,12.0,2.16,RC-NB-2025,,
FEE-0682,PAY-0682,MDR,118.49,21.33,RC-WALLET-2025,,
FEE-0683,PAY-0683,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0684,PAY-0684,MDR,15.1,2.72,RC-WALLET-2025,,
FEE-0685,PAY-0685,MDR,12.82,2.31,RC-CARD-2025,,
FEE-0686,PAY-0686,MDR,37.7,6.79,RC-CARD-2025,,
FEE-0688,PAY-0688,MDR,12.0,2.16,RC-NB-2025,,
FEE-0689,PAY-0689,MDR,18.92,3.41,RC-CARD-2025,,
FEE-0690,PAY-0690,MDR,12.74,2.29,RC-CARD-2025,,
FEE-0691,PAY-0691,MDR,12.0,2.16,RC-NB-2025,,
FEE-0692,PAY-0692,MDR,47.93,8.63,RC-CARD-2025,,
FEE-0693,PAY-0693,MDR,3.31,0.6,RC-UPI-2025,,
FEE-0694,PAY-0694,MDR,71.97,12.95,RC-CARD-2025,,
FEE-0695,PAY-0695,MDR,2.5,0.45,RC-UPI-2025,,
FEE-0696,PAY-0696,MDR,48.17,8.67,RC-CARD-2025,,
FEE-0697,PAY-0697,MDR,37.55,6.76,RC-CARD-2025,,
FEE-0699,PAY-0699,MDR,12.0,2.16,RC-NB-2025,,
FEE-0700,PAY-0700,MDR,7.03,1.27,RC-EMI-2025,,
FEE-0701,PAY-0701,MDR,22.17,3.99,RC-EMI-2025,,
FEE-0702,PAY-0702,MDR,23.14,4.17,RC-CARD-2025,,
FEE-0703,PAY-0703,MDR,50.83,9.15,RC-CARD-2025,,
FEE-0704,PAY-0704,MDR,9.62,1.73,RC-CARD-2025,,
FEE-0705,PAY-0705,MDR,35.28,6.35,RC-CARD-2025,,
FEE-0706,PAY-0706,MDR,8.9,1.6,RC-CARD-2025,,
FEE-0707,PAY-0707,MDR,118.96,21.41,RC-WALLET-2025,,
FEE-0708,PAY-0708,MDR,186.31,33.54,RC-CARD-2025,,
FEE-0709,PAY-0709,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0710,PAY-0710,MDR,19.94,3.59,RC-WALLET-2025,,
FEE-0711,PAY-0711,MDR,7.97,1.43,RC-UPI-2025,,
FEE-0712,PAY-0712,MDR,117.56,21.16,RC-CARD-2025,,
FEE-0713,PAY-0713,MDR,25.24,4.54,RC-CARD-2025,,
FEE-0714,PAY-0714,MDR,134.96,24.29,RC-CARD-2025,,
FEE-0715,PAY-0715,MDR,44.72,8.05,RC-CARD-2025,,
FEE-0716,PAY-0716,MDR,5.94,1.07,RC-UPI-2025,,
FEE-0717,PAY-0717,MDR,7.75,1.4,RC-CARD-2025,,
FEE-0718,PAY-0718,MDR,2.97,0.53,RC-UPI-2025,,
FEE-0720,PAY-0720,MDR,18.76,3.38,RC-CARD-2025,,
FEE-0721,PAY-0721,MDR,16.44,2.96,RC-WALLET-2025,,
FEE-0722,PAY-0722,MDR,5.36,0.96,RC-UPI-2025,,
FEE-0723,PAY-0723,MDR,49.69,8.94,RC-WALLET-2025,,
FEE-0724,PAY-0724,MDR,48.64,8.76,RC-UPI-2025,,
FEE-0725,PAY-0725,MDR,68.29,12.29,RC-CARD-2025,,
FEE-0726,PAY-0726,MDR,10.07,1.81,RC-UPI-2025,,
FEE-0727,PAY-0727,MDR,8.09,1.46,RC-UPI-2025,,
