case_id,anomaly_id,order_id,payment_id,customer_id,category,priority,status,expected_fee,expected_tax,expected_settlement,actual_fee,actual_tax,actual_settlement,known_adjustments,refund_status,recon_status,potential_leakage,confidence,recoverability_status,potential_recovery,deadline_at,allowed_actions,approval_required,opened_at,closed_at
CASE-0066,anm-00068,ORD-403,PAY-0403,CUS-0247,SETTLEMENT_MISMATCH,LOW,NEW,11.73,2.11,572.88,11.73,2.11,559.69,0,NONE,MISMATCH,13.19,0.90,ACTION_READY,13.19,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0067,anm-00069,ORD-404,PAY-0404,CUS-0180,FEE_DISCREPANCY,LOW,NEW,12.0,2.16,606.73,24.0,4.32,592.57,0,NONE,MISMATCH,14.16,0.90,ACTION_READY,14.16,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0068,anm-00070,ORD-405,PAY-0405,CUS-0242,REFUND_ECONOMICS,LOW,NEW,19.27,3.47,940.82,19.27,3.47,520.07,0,REFUNDED,MISMATCH,8.41,0.90,ACTION_READY,8.41,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0069,anm-00071,ORD-428,PAY-0428,CUS-0234,SETTLEMENT_MISMATCH,LOW,NEW,7.74,1.39,1926.8,7.74,1.39,1904.6,0,NONE,MISMATCH,22.2,0.90,ACTION_READY,22.2,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0070,anm-00072,ORD-435,PAY-0435,CUS-0125,FEE_DISCREPANCY,LOW,NEW,8.56,1.54,2129.98,13.12,2.36,2125.42,0,NONE,MISMATCH,5.38,0.90,ACTION_READY,5.38,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0071,anm-00073,ORD-437,PAY-0437,CUS-0243,FEE_DISCREPANCY,LOW,NEW,10.6,1.91,2637.06,14.94,2.69,2632.72,0,NONE,MISMATCH,5.12,0.90,ACTION_READY,5.12,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0072,anm-00074,ORD-438,PAY-0438,CUS-0146,FEE_DISCREPANCY,LOW,NEW,5.98,1.08,291.94,8.68,1.56,289.24,0,NONE,MISMATCH,3.18,0.90,ACTION_READY,3.18,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0073,anm-00075,ORD-458,PAY-0458,CUS-0219,SETTLEMENT_MISMATCH,LOW,NEW,4.57,0.82,1137.25,4.57,0.82,1091.25,0,NONE,MISMATCH,46.0,0.90,ACTION_READY,46.0,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0074,anm-00076,ORD-460,PAY-0460,CUS-0055,FEE_DISCREPANCY,LOW,NEW,12.0,2.16,328.01,16.68,3.0,323.33,0,NONE,MISMATCH,5.52,0.90,ACTION_READY,5.52,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0075,anm-00077,ORD-461,PAY-0461,CUS-0112,SETTLEMENT_MISMATCH,MEDIUM,NEW,5.98,1.08,291.94,5.98,1.08,0,0,NONE,MISMATCH,291.94,0.90,ACTION_READY,291.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0076,anm-00078,ORD-465,PAY-0465,CUS-0038,REFUND_ECONOMICS,LOW,NEW,46.15,8.31,11482.21,46.15,8.31,7281.24,0,REFUNDED,MISMATCH,16.81,0.90,ACTION_READY,16.81,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0077,anm-00079,ORD-468,PAY-0468,CUS-0103,FEE_DISCREPANCY,LOW,NEW,31.56,5.68,1540.95,48.66,8.76,1523.85,0,NONE,MISMATCH,20.18,0.90,ACTION_READY,20.18,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0078,anm-00080,ORD-469,PAY-0469,CUS-0069,SETTLEMENT_MISMATCH,LOW,NEW,12.77,2.3,656.83,12.77,2.3,638.65,0,NONE,MISMATCH,18.18,0.90,ACTION_READY,18.18,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0079,anm-00081,ORD-471,PAY-0471,CUS-0083,FEE_DISCREPANCY,LOW,NEW,27.08,4.87,1321.9,37.39,6.73,1311.59,0,NONE,MISMATCH,12.17,0.90,ACTION_READY,12.17,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0080,anm-00082,ORD-476,PAY-0476,CUS-0163,FEE_DISCREPANCY,LOW,NEW,32.14,5.79,1653.91,64.28,11.58,1615.98,0,NONE,MISMATCH,37.93,0.90,ACTION_READY,37.93,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0081,anm-00083,ORD-490,PAY-0490,CUS-0164,SETTLEMENT_MISMATCH,HIGH,NEW,12.0,2.16,1183.71,12.0,2.16,0,0,NONE,MISMATCH,1183.71,0.90,ACTION_READY,1183.71,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0082,anm-00084,ORD-493,PAY-0493,CUS-0086,SETTLEMENT_MISMATCH,LOW,NEW,2.31,0.42,574.88,2.31,0.42,555.53,0,NONE,MISMATCH,19.35,0.90,ACTION_READY,19.35,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0083,anm-00085,ORD-498,PAY-0498,CUS-0088,SETTLEMENT_MISMATCH,HIGH,NEW,15.4,2.77,751.74,15.4,2.77,0,0,NONE,MISMATCH,751.74,0.90,ACTION_READY,751.74,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0084,anm-00086,ORD-550,PAY-0550,CUS-0182,REFUND_ECONOMICS,LOW,NEW,100.81,18.15,4921.34,100.81,18.15,3897.95,0,REFUNDED,MISMATCH,20.47,0.90,ACTION_READY,20.47,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0085,anm-00087,ORD-563,PAY-0563,CUS-0092,FEE_DISCREPANCY,LOW,NEW,14.45,2.6,705.26,19.58,3.52,700.13,0,NONE,MISMATCH,6.05,0.90,ACTION_READY,6.05,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0086,anm-00088,ORD-568,PAY-0568,CUS-0242,SETTLEMENT_MISMATCH,HIGH,NEW,24.34,4.38,1188.26,24.34,4.38,0,0,REFUNDED,MISMATCH,788.94,0.90,ACTION_READY,788.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0087,anm-00089,ORD-579,PAY-0579,CUS-0113,SETTLEMENT_MISMATCH,MEDIUM,NEW,5.98,1.08,291.94,5.98,1.08,0,0,NONE,MISMATCH,291.94,0.90,ACTION_READY,291.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0088,anm-00090,ORD-580,PAY-0580,CUS-0218,SETTLEMENT_MISMATCH,HIGH,NEW,31.34,5.64,7798.05,31.34,5.64,7190.16,0,NONE,MISMATCH,607.89,0.90,ACTION_READY,607.89,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0089,anm-00091,ORD-585,PAY-0585,CUS-0018,FEE_DISCREPANCY,LOW,NEW,48.59,8.75,2372.24,97.18,17.5,2314.9,0,NONE,MISMATCH,57.34,0.90,ACTION_READY,57.34,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0090,anm-00092,ORD-590,PAY-0590,CUS-0093,SETTLEMENT_MISMATCH,LOW,NEW,12.28,2.21,599.29,12.28,2.21,556.49,0,NONE,MISMATCH,42.8,0.90,ACTION_READY,42.8,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0091,anm-00093,ORD-603,PAY-0603,CUS-0168,SETTLEMENT_MISMATCH,HIGH,NEW,117.89,21.22,5755.61,117.89,21.22,0,0,NONE,MISMATCH,5755.61,0.90,ACTION_READY,5755.61,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0092,anm-00094,ORD-614,PAY-0614,CUS-0047,SETTLEMENT_MISMATCH,HIGH,NEW,4.5,0.81,1120.72,4.5,0.81,0,0,REFUNDED,MISMATCH,822.81,0.90,ACTION_READY,822.81,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0093,anm-00095,ORD-623,PAY-0623,CUS-0197,SETTLEMENT_MISMATCH,HIGH,NEW,17.96,3.23,876.8,17.96,3.23,0,0,NONE,MISMATCH,876.8,0.90,ACTION_READY,876.8,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0094,anm-00096,ORD-627,PAY-0627,CUS-0143,FEE_DISCREPANCY,LOW,NEW,2.6,0.47,647.47,3.94,0.71,646.13,0,NONE,MISMATCH,1.58,0.90,ACTION_READY,1.58,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0095,anm-00097,ORD-628,PAY-0628,CUS-0079,SETTLEMENT_MISMATCH,MEDIUM,NEW,10.0,1.8,2487.3,10.0,1.8,2305.58,0,NONE,MISMATCH,181.72,0.90,ACTION_READY,181.72,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0096,anm-00098,ORD-629,PAY-0629,CUS-0222,FEE_DISCREPANCY,LOW,NEW,9.86,1.77,2452.73,19.72,3.54,1522.96,0,REFUNDED,MISMATCH,15.3,0.90,ACTION_READY,15.3,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0097,anm-00100,ORD-655,PAY-0655,CUS-0226,FEE_DISCREPANCY,LOW,NEW,77.04,13.87,3963.68,109.97,19.79,3930.75,0,NONE,MISMATCH,38.85,0.90,ACTION_READY,38.85,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0098,anm-00101,ORD-656,PAY-0656,CUS-0235,SETTLEMENT_MISMATCH,MEDIUM,NEW,2.11,0.38,524.28,2.11,0.38,0,0,REFUNDED,MISMATCH,389.35,0.90,ACTION_READY,389.35,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0099,anm-00102,ORD-663,PAY-0663,CUS-0147,SETTLEMENT_MISMATCH,MEDIUM,NEW,133.53,24.04,6518.83,133.53,24.04,6261.54,0,NONE,MISMATCH,257.29,0.90,ACTION_READY,257.29,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0100,anm-00103,ORD-667,PAY-0667,CUS-0065,FEE_DISCREPANCY,LOW,NEW,5.39,0.97,1341.37,8.2,1.48,1338.56,0,NONE,MISMATCH,3.32,0.90,ACTION_READY,3.32,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0101,anm-00104,ORD-668,PAY-0668,CUS-0016,SETTLEMENT_MISMATCH,HIGH,NEW,19.63,3.53,958.15,19.63,3.53,0,0,NONE,MISMATCH,958.15,0.90,ACTION_READY,958.15,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0102,anm-00105,ORD-669,PAY-0669,CUS-0086,REFUND_ECONOMICS,LOW,NEW,108.42,19.52,5293.29,108.42,19.52,3853.1,0,REFUNDED,MISMATCH,28.8,0.90,ACTION_READY,28.8,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0103,anm-00106,ORD-680,PAY-0680,CUS-0100,REFUND_ECONOMICS,LOW,NEW,47.45,8.54,2316.39,47.45,8.54,1282.06,0,REFUNDED,MISMATCH,20.69,0.90,ACTION_READY,20.69,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0104,anm-00107,ORD-681,PAY-0681,CUS-0135,SETTLEMENT_MISMATCH,MEDIUM,NEW,12.0,2.16,2864.36,12.0,2.16,2644.44,0,NONE,MISMATCH,219.92,0.90,ACTION_READY,219.92,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0105,anm-00108,ORD-686,PAY-0686,CUS-0106,REFUND_ECONOMICS,LOW,NEW,37.7,6.79,1840.64,37.7,6.79,1143.83,0,REFUNDED,MISMATCH,13.94,0.90,ACTION_READY,13.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0106,anm-00109,ORD-699,PAY-0699,CUS-0250,SETTLEMENT_MISMATCH,MEDIUM,NEW,12.0,2.16,284.84,12.0,2.16,0,0,NONE,MISMATCH,284.84,0.90,ACTION_READY,284.84,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0107,anm-00110,ORD-702,PAY-0702,CUS-0083,SETTLEMENT_MISMATCH,HIGH,NEW,23.14,4.17,1129.65,23.14,4.17,0,0,REFUNDED,MISMATCH,675.77,0.90,ACTION_READY,675.77,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0108,anm-00111,ORD-705,PAY-0705,CUS-0203,SETTLEMENT_MISMATCH,HIGH,NEW,35.28,6.35,1722.34,35.28,6.35,0,0,NONE,MISMATCH,1722.34,0.90,ACTION_READY,1722.34,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0109,anm-00112,ORD-711,PAY-0711,CUS-0179,FEE_DISCREPANCY,LOW,NEW,5.73,1.03,1424.53,7.97,1.43,1422.29,0,NONE,MISMATCH,2.64,0.90,ACTION_READY,2.64,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0110,anm-00113,ORD-718,PAY-0718,CUS-0147,SETTLEMENT_MISMATCH,LOW,NEW,2.97,0.53,738.74,2.97,0.53,729.88,0,NONE,MISMATCH,8.86,0.90,ACTION_READY,8.86,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0111,anm-00114,ORD-729,PAY-0729,CUS-0212,FEE_DISCREPANCY,LOW,NEW,6.88,1.24,1711.9,13.76,2.48,1703.78,0,NONE,MISMATCH,8.12,0.90,ACTION_READY,8.12,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0112,anm-00116,ORD-741,PAY-0741,CUS-0135,SETTLEMENT_MISMATCH,MEDIUM,NEW,26.17,4.71,1277.79,37.4,6.73,1172.12,0,NONE,MISMATCH,105.67,0.90,ACTION_READY,105.67,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0113,anm-00117,ORD-747,PAY-0747,CUS-0176,REFUND_ECONOMICS,LOW,NEW,16.92,3.05,870.48,16.92,3.05,445.51,0,REFUNDED,MISMATCH,8.08,0.90,ACTION_READY,8.08,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0114,anm-00118,ORD-758,PAY-0758,CUS-0222,FEE_DISCREPANCY,LOW,NEW,145.3,26.15,7093.36,226.71,40.81,7011.95,0,NONE,MISMATCH,96.07,0.90,ACTION_READY,96.07,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0115,anm-00119,ORD-768,PAY-0768,CUS-0176,FEE_DISCREPANCY,LOW,NEW,12.0,2.16,2816.48,19.05,3.43,2809.43,0,NONE,MISMATCH,8.32,0.90,ACTION_READY,8.32,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0116,anm-00120,ORD-772,PAY-0772,CUS-0211,FEE_DISCREPANCY,LOW,NEW,61.22,11.02,3149.62,96.73,17.41,3114.11,0,NONE,MISMATCH,41.9,0.90,ACTION_READY,41.9,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0117,anm-00121,ORD-773,PAY-0773,CUS-0028,SETTLEMENT_MISMATCH,HIGH,NEW,74.4,13.39,3632.03,74.4,13.39,0,0,REFUNDED,MISMATCH,1988.32,0.90,ACTION_READY,1988.32,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0118,anm-00122,ORD-781,PAY-0781,CUS-0138,FEE_DISCREPANCY,LOW,NEW,4.71,0.85,1171.64,6.21,1.12,1170.14,0,NONE,MISMATCH,1.77,0.90,ACTION_READY,1.77,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0119,anm-00123,ORD-789,PAY-0789,CUS-0117,REFUND_ECONOMICS,LOW,NEW,146.55,26.38,7154.8,146.55,26.38,3969.23,0,REFUNDED,MISMATCH,63.71,0.90,ACTION_READY,63.71,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0120,anm-00124,ORD-796,PAY-0796,CUS-0127,FEE_DISCREPANCY,LOW,NEW,37.22,6.7,1817.18,59.19,10.65,1795.21,0,NONE,MISMATCH,25.92,0.90,ACTION_READY,25.92,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0121,anm-00125,ORD-807,PAY-0807,CUS-0160,SETTLEMENT_MISMATCH,HIGH,NEW,33.11,5.96,1616.44,33.11,5.96,0,0,NONE,MISMATCH,1616.44,0.90,ACTION_READY,1616.44,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0122,anm-00126,ORD-812,PAY-0812,CUS-0066,SETTLEMENT_MISMATCH,HIGH,NEW,12.0,2.16,531.04,12.0,2.16,0,0,NONE,MISMATCH,531.04,0.90,ACTION_READY,531.04,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0123,anm-00128,ORD-815,PAY-0815,CUS-0010,SETTLEMENT_MISMATCH,LOW,NEW,4.02,0.72,1001.18,8.04,1.44,933.74,0,NONE,MISMATCH,67.44,0.90,ACTION_READY,67.44,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0124,anm-00129,ORD-816,PAY-0816,CUS-0138,SETTLEMENT_MISMATCH,LOW,NEW,14.53,2.62,747.4,14.53,2.62,469.77,0,REFUNDED,MISMATCH,14.34,0.90,ACTION_READY,14.34,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0125,anm-00130,ORD-825,PAY-0825,CUS-0211,REFUND_ECONOMICS,MEDIUM,NEW,1057.5,190.35,43752.15,1057.5,190.35,23576.57,0,REFUNDED,MISMATCH,474.13,0.90,ACTION_READY,474.13,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,TRUE,2025-04-05T00:00:00Z,
CASE-0126,anm-00131,ORD-834,PAY-0834,CUS-0181,FEE_DISCREPANCY,LOW,NEW,12.2,2.2,3035.74,16.67,3.0,3031.27,0,NONE,MISMATCH,5.27,0.90,ACTION_READY,5.27,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0127,anm-00132,ORD-835,PAY-0835,CUS-0158,REFUND_ECONOMICS,LOW,NEW,161.21,29.02,7870.26,161.21,29.02,5938.05,0,REFUNDED,MISMATCH,38.64,0.90,ACTION_READY,38.64,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0128,anm-00133,ORD-837,PAY-0837,CUS-0179,SETTLEMENT_MISMATCH,LOW,NEW,3.41,0.61,849.61,3.41,0.61,784.03,0,NONE,MISMATCH,65.58,0.90,ACTION_READY,65.58,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0129,anm-00134,ORD-840,PAY-0840,CUS-0117,SETTLEMENT_MISMATCH,LOW,NEW,3.43,0.62,853.21,3.43,0.62,786.73,0,NONE,MISMATCH,66.48,0.90,ACTION_READY,66.48,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0130,anm-00135,ORD-844,PAY-0844,CUS-0152,SETTLEMENT_MISMATCH,HIGH,NEW,26.45,4.76,1291.07,26.45,4.76,0,0,NONE,MISMATCH,1291.07,0.90,ACTION_READY,1291.07,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0131,anm-00136,ORD-849,PAY-0849,CUS-0228,FEE_DISCREPANCY,LOW,NEW,49.25,8.87,12255.41,66.89,12.04,12237.77,0,NONE,MISMATCH,20.81,0.90,ACTION_READY,20.81,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
