evidence_id,case_id,recon_result_id,evidence_kind,source_system,source_reference,description,payload_sha256,collected_at
EVID-00101,CASE-0029,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000138axkkkkkkkkkk,raw gateway payload for payment pay_000138axkkkkkkkkkk,eb83d0cc0234f040e582f0760c5f53260ceeee6b823ddf00c4a0577485b4bda1,2025-04-05T00:00:00Z
EVID-00102,CASE-0030,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00031,SETTLEMENT_MISMATCH detected 571.83 by FR-SETTLE-TIMING-001,0e746f1274827623fd6b9eb9aec3b020395a779d0bbe1cfe102f8e8f32819a10,2025-04-05T00:00:00Z
EVID-00103,CASE-0030,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00104,CASE-0030,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000140axkkkkkk,raw gateway payload for payment pay_000140axkkkkkk,fbb4c94e600888da892c8c130bc1664dabd084f192eab7ea21ca25ee1f00fcb1,2025-04-05T00:00:00Z
EVID-00105,CASE-0031,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00032,FEE_DISCREPANCY detected 25.74 by FR-FEE-EXCESS-001,b98003b9aaaa1d928b40033c23eebc5490bf635f509c1ff7460cd77eb3204b25,2025-04-05T00:00:00Z
EVID-00106,CASE-0031,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00107,CASE-0031,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000143axkkkkkkkk,raw gateway payload for payment pay_000143axkkkkkkkk,aa4933c339561bad8bec0036c9eaab9faa9b908870f552377f5141f644bf38dd,2025-04-05T00:00:00Z
EVID-00108,CASE-0031,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00109,CASE-0032,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00033,SETTLEMENT_MISMATCH detected 814.95 by FR-SETTLE-TIMING-001,f7c3d54627c533ae20bac379b29727f2781378583b8b2e83b1027e4365784496,2025-04-05T00:00:00Z
EVID-00110,CASE-0032,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00111,CASE-0032,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000157axkkkkk,raw gateway payload for payment pay_000157axkkkkk,b3a337b7149181c9d92d02546b031f7c9835fe8d761586d4f36b61fe32b1db88,2025-04-05T00:00:00Z
EVID-00112,CASE-0033,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00034,FEE_DISCREPANCY detected 11.36 by FR-FEE-EXCESS-001,3ed3e436969b1d0dc76642d90dae16d98b283b45bbe5d850830e91142b73de3a,2025-04-05T00:00:00Z
EVID-00113,CASE-0033,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00114,CASE-0033,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000161axkkkkk,raw gateway payload for payment pay_000161axkkkkk,dcf0521bd1640d58492c54c58e38aa946761a5b9bf7e6dc1865542cb05321176,2025-04-05T00:00:00Z
EVID-00115,CASE-0033,,RATE_CARD,CFG,cfg.rate_cards:RC-NB-2025,applicable rate card RC-NB-2025,319c1843b37a6e78aa4b7e94785936a68fae6f51cbe7c340bdab41d62ea56c00,2025-04-05T00:00:00Z
EVID-00116,CASE-0034,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00035,FEE_DISCREPANCY detected 2.78 by FR-FEE-EXCESS-001,76c9ae4deed490d42be778b6da10e65d262eb44f899840ccfb7900225c273874,2025-04-05T00:00:00Z
EVID-00117,CASE-0034,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00118,CASE-0034,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00036,SETTLEMENT_MISMATCH detected 7.78 by FR-SETTLE-CALC-001,05299e1bf2a411ec646f514ba7be28abc06f9bf8c5470c7d11d8ade6f6c8d949,2025-04-05T00:00:00Z
EVID-00119,CASE-0034,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00120,CASE-0034,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000164axkkkkkkkkk,raw gateway payload for payment pay_000164axkkkkkkkkk,b530ae192f182937288da5e45f11411055f05ef24aa0b6181687265575c34243,2025-04-05T00:00:00Z
EVID-00121,CASE-0035,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00037,SETTLEMENT_MISMATCH detected 5.45 by FR-SETTLE-CALC-001,f9dfc810b00597ec708f529004b96081c41a3ae31ed03a5c76452a5ae7d776d6,2025-04-05T00:00:00Z
EVID-00122,CASE-0035,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00123,CASE-0035,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000168axkkkkk,raw gateway payload for payment pay_000168axkkkkk,e350f5b27aa9e6e502ec07482687f46ba78c324ddac43d02249d7819f665542d,2025-04-05T00:00:00Z
EVID-00124,CASE-0036,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00038,REFUND_ECONOMICS detected 6.39 by FR-REFUND-ECON-001,1fd874129d4a53b887bb8d6ad8b611b430765bb04e593fbd274ae2f9aa83d03d,2025-04-05T00:00:00Z
EVID-00125,CASE-0036,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00126,CASE-0036,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000173axkkkkkkkkk,raw gateway payload for payment pay_000173axkkkkkkkkk,122c8772dd515fd146210e4e2a8d437b861550abf9063d0ff6d40ccf1ad1c4b4,2025-04-05T00:00:00Z
EVID-00127,CASE-0037,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00039,REFUND_ECONOMICS detected 33.66 by FR-REFUND-ECON-001,41c7329dbb102c5825808bbc971110923ca2e23f4365eb2046fc92671264a86b,2025-04-05T00:00:00Z
EVID-00128,CASE-0037,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00129,CASE-0037,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000176axkkkkkkkkkk,raw gateway payload for payment pay_000176axkkkkkkkkkk,7a3f225ff5bf12a4df20ebf838866f545722ec3ec08043fc1c3dfd24117ab912,2025-04-05T00:00:00Z
EVID-00130,CASE-0038,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00040,FEE_DISCREPANCY detected 23.82 by FR-FEE-EXCESS-001,a2251ca95c65dc9e5bd99dc768347f087753b32d41b1aba08c61835212d75208,2025-04-05T00:00:00Z
EVID-00131,CASE-0038,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00132,CASE-0038,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000178axkkkkkkkkkk,raw gateway payload for payment pay_000178axkkkkkkkkkk,7596b2b0a62f0607ffe3e36e894e6e459d7cff04e1b139cc2f0162288120497d,2025-04-05T00:00:00Z
EVID-00133,CASE-0038,,RATE_CARD,CFG,cfg.rate_cards:RC-WALLET-2025,applicable rate card RC-WALLET-2025,db454a85728a7a4f21a9eca649bc6e418822fb35991d5e73c2f723f512f5ce83,2025-04-05T00:00:00Z
EVID-00134,CASE-0039,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00041,SETTLEMENT_MISMATCH detected 119.5 by FR-SETTLE-CALC-001,5dc8e2f1117be38376318f419f002ca0167b4c11d79a8b9f9c2aea585f48f7c9,2025-04-05T00:00:00Z
EVID-00135,CASE-0039,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00136,CASE-0039,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000179axkkkkkkk,raw gateway payload for payment pay_000179axkkkkkkk,9b773363e767c49cff394b45cf23aa79c6dcb1f3f3af75f4718e3b008826d12d,2025-04-05T00:00:00Z
EVID-00137,CASE-0040,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00042,SETTLEMENT_MISMATCH detected 300.05 by FR-SETTLE-CALC-001,8b2ae307c7ae98b2abbb2370af7b7d42df695b95b990cb86bf9f4d61fc3a3c7a,2025-04-05T00:00:00Z
EVID-00138,CASE-0040,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00139,CASE-0040,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000182axkkkk,raw gateway payload for payment pay_000182axkkkk,62f17acf3569fc011d0e64456ba5cbe90dd097d8db4718134e69712940147aaf,2025-04-05T00:00:00Z
EVID-00140,CASE-0041,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00043,SETTLEMENT_MISMATCH detected 291.94 by FR-SETTLE-TIMING-001,56f1b7346c6d471bebf762b7c37619cbec19d8a0af7d45b271794e46e3756caf,2025-04-05T00:00:00Z
EVID-00141,CASE-0041,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00142,CASE-0041,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000188axkkkkk,raw gateway payload for payment pay_000188axkkkkk,cdf5d1fecf4d3dd732adbef18b5df0dd99716b6fe9d41a524f34de68a9e5bddc,2025-04-05T00:00:00Z
EVID-00143,CASE-0042,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00044,SETTLEMENT_MISMATCH detected 550.24 by FR-SETTLE-TIMING-001,784cb0b22b9ba0f041387b0b7b9303328fadfc14ab144122f74239855a2f19d9,2025-04-05T00:00:00Z
EVID-00144,CASE-0042,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00145,CASE-0042,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000196axkkkkkk,raw gateway payload for payment pay_000196axkkkkkk,eb7d6fbb640c2512472e9da4d7cc284c4911df1b998dae809669f9dd42a43a16,2025-04-05T00:00:00Z
EVID-00146,CASE-0043,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00045,FEE_DISCREPANCY detected 7.58 by FR-FEE-EXCESS-001,5b3a42355431c1d46b2aa3e43e9bd1e613a401f0e3ecf4e5abc66a3e2f3ecf5d,2025-04-05T00:00:00Z
EVID-00147,CASE-0043,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00148,CASE-0043,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000201axkkkkk,raw gateway payload for payment pay_000201axkkkkk,e2f9b55040c7749620867410abb882f97c038d6cf4a0a339993e8c35785e2fca,2025-04-05T00:00:00Z
EVID-00149,CASE-0043,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00150,CASE-0044,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00046,SETTLEMENT_MISMATCH detected 129.59 by FR-SETTLE-CALC-001,940241d0064b34ae877170a4903fdd998f441a7215bd4e4a90e6a97d47280327,2025-04-05T00:00:00Z
EVID-00151,CASE-0044,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00152,CASE-0044,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000209axkkkkkkkkkk,raw gateway payload for payment pay_000209axkkkkkkkkkk,65f326dbac0bc599cf1d2afe50f1ef181b7f77cf7697fed45443f812eeb1a161,2025-04-05T00:00:00Z
EVID-00153,CASE-0045,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00047,FEE_DISCREPANCY detected 2.17 by FR-FEE-EXCESS-001,f736f9d9916483c83cbc84ee27fd5aee56e533ab775ef1ef5d776ddb68085a38,2025-04-05T00:00:00Z
EVID-00154,CASE-0045,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00155,CASE-0045,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000219axkkkkkk,raw gateway payload for payment pay_000219axkkkkkk,871ea0cde127c80cfaed9192cde94669c9386b6b41959f9757c116e6a668e607,2025-04-05T00:00:00Z
EVID-00156,CASE-0045,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00157,CASE-0046,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00048,SETTLEMENT_MISMATCH detected 1253.0 by FR-SETTLE-TIMING-001,6d11b8b7f74d7b8919b323c1922c55135c972d2aac86d36a6d842bead7f83828,2025-04-05T00:00:00Z
EVID-00158,CASE-0046,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00159,CASE-0046,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000231axkkkkkkkk,raw gateway payload for payment pay_000231axkkkkkkkk,d3912a1100a433a9d034a927287d143a4550b2ab726f75610366f455601de195,2025-04-05T00:00:00Z
EVID-00160,CASE-0047,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00049,SETTLEMENT_MISMATCH detected 1237.65 by FR-SETTLE-TIMING-001,462675018f72de8ed164e67ec2dc2258041d450f705453441c494076b05e46a1,2025-04-05T00:00:00Z
EVID-00161,CASE-0047,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00162,CASE-0047,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000238axkkkkkkk,raw gateway payload for payment pay_000238axkkkkkkk,8024a63522a35e044a5dbad9823ef6fa2a90c2c8ccc6e9fbfd003a05d06ce6ef,2025-04-05T00:00:00Z
EVID-00163,CASE-0048,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00050,SETTLEMENT_MISMATCH detected 106.19 by FR-SETTLE-CALC-001,8c91b32ca19feadd27b758234dfdfd3878c6f0ac9aa6319817db6fe08e49d4f9,2025-04-05T00:00:00Z
EVID-00164,CASE-0048,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00165,CASE-0048,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000268axkkkkkkkk,raw gateway payload for payment pay_000268axkkkkkkkk,ec78118a21287a3d0cf92d1543e92ece3ea6158f78dc6d9c30bb9b723f101697,2025-04-05T00:00:00Z
EVID-00166,CASE-0049,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00051,REFUND_ECONOMICS detected 2.1 by FR-REFUND-ECON-001,089c2807450311e62c855295c27baf0ede4bd04937da59cefda781dad8eee6b6,2025-04-05T00:00:00Z
EVID-00167,CASE-0049,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00168,CASE-0049,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000269axkkkkkkkkk,raw gateway payload for payment pay_000269axkkkkkkkkk,0e82588c447b59d94b93e663f4732b74d37c45e7ec8780a6f965d576ca985aaf,2025-04-05T00:00:00Z
EVID-00169,CASE-0050,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00052,FEE_DISCREPANCY detected 4.07 by FR-FEE-EXCESS-001,a5d0a3f42ed6a6b9e87bbb7aacf407d2dafbfe154706d9520ac4cd643279da69,2025-04-05T00:00:00Z
EVID-00170,CASE-0050,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00171,CASE-0050,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000273axkkkkkk,raw gateway payload for payment pay_000273axkkkkkk,f8f29bb35b9ba46e8914b5030a09de4a41eae10767325b55e547435c4d13c83c,2025-04-05T00:00:00Z
EVID-00172,CASE-0050,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00173,CASE-0051,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00053,FEE_DISCREPANCY detected 7.07 by FR-FEE-EXCESS-001,1bfdaeb38a004b512298a53f65a637e9e22c6b41bddb52d17779e99608dfc80d,2025-04-05T00:00:00Z
EVID-00174,CASE-0051,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00175,CASE-0051,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000280axkkkkk,raw gateway payload for payment pay_000280axkkkkk,24d88d70c6847470e13f96db302c0c694db1ff56470ce3d03da351bdf160aa5c,2025-04-05T00:00:00Z
EVID-00176,CASE-0051,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00177,CASE-0052,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00054,SETTLEMENT_MISMATCH detected 292.62 by FR-SETTLE-CALC-001,cf5820ab99c82e9a8737f2511e7f38801d763d60ca55eef659ee3bccc28fcb26,2025-04-05T00:00:00Z
EVID-00178,CASE-0052,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00179,CASE-0052,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000282axkkkkk,raw gateway payload for payment pay_000282axkkkkk,6f2352fb5e28670918b41b6df2d6fa26831a013f6a79135e80175f3bab498e99,2025-04-05T00:00:00Z
EVID-00180,CASE-0053,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00055,FEE_DISCREPANCY detected 21.25 by FR-FEE-EXCESS-001,3b1746992c8fe783b763f5b22782a175e6c76513a16e09d2850770f54acdddce,2025-04-05T00:00:00Z
EVID-00181,CASE-0053,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00182,CASE-0053,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000288axkkkkk,raw gateway payload for payment pay_000288axkkkkk,be1c98f2b1d5afa500086cde4b365f5addc85d2fdee3ca6a6b0cf710cea00117,2025-04-05T00:00:00Z
EVID-00183,CASE-0053,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00184,CASE-0054,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00056,FEE_DISCREPANCY detected 7.38 by FR-FEE-EXCESS-001,1b468d8affd9b6b5c0b284daa5def1a48c3d7078906aa74e7574e7ec930afd9d,2025-04-05T00:00:00Z
EVID-00185,CASE-0054,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00186,CASE-0054,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000291axkkkkkkkkk,raw gateway payload for payment pay_000291axkkkkkkkkk,b987c72a279d614616ff93753093f0552c7c48e16a9f44052478388df93f5235,2025-04-05T00:00:00Z
EVID-00187,CASE-0054,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00188,CASE-0055,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00057,SETTLEMENT_MISMATCH detected 310.74 by FR-SETTLE-TIMING-001,5bccbd84017e9a5e448944fcc4087f73085f0c5f5fe989b46ca8e257651d230a,2025-04-05T00:00:00Z
EVID-00189,CASE-0055,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00190,CASE-0055,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000294axkkkkkkkkk,raw gateway payload for payment pay_000294axkkkkkkkkk,d5c9e8d2a816b1fd95a17efc38e31ace5ca5720b6252647589cf5a3db224b161,2025-04-05T00:00:00Z
EVID-00191,CASE-0056,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00058,REFUND_ECONOMICS detected 41.45 by FR-REFUND-ECON-001,4fe4b5f179b5a7bf6777480c1e33349145ee75fddbdc0c356967f9684ae30361,2025-04-05T00:00:00Z
EVID-00192,CASE-0056,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00193,CASE-0056,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000301axkkkkkk,raw gateway payload for payment pay_000301axkkkkkk,b51454051069f82d45792ea16fbf9eb25e6ee65a70af3258e8de955476d85f0e,2025-04-05T00:00:00Z
EVID-00194,CASE-0057,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00059,FEE_DISCREPANCY detected 5.11 by FR-FEE-EXCESS-001,51bd413c158260fbaec3148353ef0fc7f5e5d26f06aa501c7f0e9d7d340cbed7,2025-04-05T00:00:00Z
EVID-00195,CASE-0057,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00196,CASE-0057,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000304axkkkk,raw gateway payload for payment pay_000304axkkkk,1d655ec15cdb5ee38235ced17f12e971cc4b129b1e65850261834ba8f8db57cf,2025-04-05T00:00:00Z
EVID-00197,CASE-0057,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00198,CASE-0058,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00060,SETTLEMENT_MISMATCH detected 175.78 by FR-SETTLE-CALC-001,5160c8cac8c54001e15845cedbc4e497fa08353a174395997830cfe3b748ac57,2025-04-05T00:00:00Z
EVID-00199,CASE-0058,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00200,CASE-0058,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000316axkkkkkkk,raw gateway payload for payment pay_000316axkkkkkkk,cc8ffc8662ecbb03b81a7bd881f92caa22f8ff3373fad3ddc1995439a826102b,2025-04-05T00:00:00Z
