action_id,case_id,tool_id,action_type,actor,status,risk_level,input_payload,result_payload,external_ref,idempotency_key,approval_id,amount,executed_at
ACT-0045,CASE-0088,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0088"", ""evidence_ids"": [""EVID-00300"", ""EVID-00301"", ""EVID-00302""]}","{""draft"": {""draft_id"": ""DRF-CASE-0088"", ""case_id"": ""CASE-0088"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-580 \u2014 \u20b9607.89"", ""body"": ""Order ORD-580 (payment PAY-0580) was settled \u20b97190.16 against a contractual expectation of \u20b97798.05 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9607.89. Evidence attached: EVID-00300, EVID-00301, EVID-00302"", ""amount"": ""607.89""}, ""draft_id"": ""DRF-CASE-0088""}",DRF-CASE-0088,CASE-0088:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0046,CASE-0088,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0088"", ""evidence_ids"": [""EVID-00300"", ""EVID-00301"", ""EVID-00302""]}","{""dispute_id"": ""DIS-CASE-0088"", ""status"": ""SUBMITTED""}",DIS-CASE-0088,CASE-0088:CREATE_DISPUTE,APR-0023,,2025-04-05T00:00:00Z
ACT-0047,CASE-0030,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0030"", ""evidence_ids"": [""EVID-00102"", ""EVID-00103"", ""EVID-00104""]}","{""draft"": {""draft_id"": ""DRF-CASE-0030"", ""case_id"": ""CASE-0030"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-140 \u2014 \u20b9571.83"", ""body"": ""Order ORD-140 (payment PAY-0140) was settled \u20b90 against a contractual expectation of \u20b9571.83 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9571.83. Evidence attached: EVID-00102, EVID-00103, EVID-00104"", ""amount"": ""571.83""}, ""draft_id"": ""DRF-CASE-0030""}",DRF-CASE-0030,CASE-0030:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0048,CASE-0030,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0030"", ""evidence_ids"": [""EVID-00102"", ""EVID-00103"", ""EVID-00104""]}","{""dispute_id"": ""DIS-CASE-0030"", ""status"": ""SUBMITTED""}",DIS-CASE-0030,CASE-0030:CREATE_DISPUTE,APR-0024,,2025-04-05T00:00:00Z
ACT-0049,CASE-0042,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0042"", ""evidence_ids"": [""EVID-00143"", ""EVID-00144"", ""EVID-00145""]}","{""draft"": {""draft_id"": ""DRF-CASE-0042"", ""case_id"": ""CASE-0042"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-196 \u2014 \u20b9550.24"", ""body"": ""Order ORD-196 (payment PAY-0196) was settled \u20b90 against a contractual expectation of \u20b9550.24 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9550.24. Evidence attached: EVID-00143, EVID-00144, EVID-00145"", ""amount"": ""550.24""}, ""draft_id"": ""DRF-CASE-0042""}",DRF-CASE-0042,CASE-0042:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0050,CASE-0042,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0042"", ""evidence_ids"": [""EVID-00143"", ""EVID-00144"", ""EVID-00145""]}","{""dispute_id"": ""DIS-CASE-0042"", ""status"": ""SUBMITTED""}",DIS-CASE-0042,CASE-0042:CREATE_DISPUTE,APR-0025,,2025-04-05T00:00:00Z
ACT-0051,CASE-0122,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0122"", ""evidence_ids"": [""EVID-00418"", ""EVID-00419"", ""EVID-00420""]}","{""draft"": {""draft_id"": ""DRF-CASE-0122"", ""case_id"": ""CASE-0122"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-812 \u2014 \u20b9531.04"", ""body"": ""Order ORD-812 (payment PAY-0812) was settled \u20b90 against a contractual expectation of \u20b9531.04 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9531.04. Evidence attached: EVID-00418, EVID-00419, EVID-00420"", ""amount"": ""531.04""}, ""draft_id"": ""DRF-CASE-0122""}",DRF-CASE-0122,CASE-0122:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0052,CASE-0122,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0122"", ""evidence_ids"": [""EVID-00418"", ""EVID-00419"", ""EVID-00420""]}","{""dispute_id"": ""DIS-CASE-0122"", ""status"": ""SUBMITTED""}",DIS-CASE-0122,CASE-0122:CREATE_DISPUTE,APR-0026,,2025-04-05T00:00:00Z
ACT-0053,CASE-0147,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0147"", ""evidence_ids"": [""EVID-00503"", ""EVID-00504"", ""EVID-00505""]}","{""draft"": {""draft_id"": ""DRF-CASE-0147"", ""case_id"": ""CASE-0147"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-982 \u2014 \u20b9479.39"", ""body"": ""Order ORD-982 (payment PAY-0982) was settled \u20b90 against a contractual expectation of \u20b9479.39 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9479.39. Evidence attached: EVID-00503, EVID-00504, EVID-00505"", ""amount"": ""479.39""}, ""draft_id"": ""DRF-CASE-0147""}",DRF-CASE-0147,CASE-0147:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0054,CASE-0147,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0147"", ""evidence_ids"": [""EVID-00503"", ""EVID-00504"", ""EVID-00505""]}","{""dispute_id"": ""DIS-CASE-0147"", ""status"": ""SUBMITTED""}",DIS-CASE-0147,CASE-0147:CREATE_DISPUTE,APR-0027,,2025-04-05T00:00:00Z
ACT-0055,CASE-0125,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0125"", ""evidence_ids"": [""EVID-00429"", ""EVID-00430"", ""EVID-00431""]}","{""draft"": {""draft_id"": ""DRF-CASE-0125"", ""case_id"": ""CASE-0125"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-825 \u2014 \u20b9474.13"", ""body"": ""Order ORD-825 (payment PAY-0825) was settled \u20b923576.57 against a contractual expectation of \u20b943752.15 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9474.13. Evidence attached: EVID-00429, EVID-00430, EVID-00431"", ""amount"": ""474.13""}, ""draft_id"": ""DRF-CASE-0125""}",DRF-CASE-0125,CASE-0125:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0056,CASE-0125,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0125"", ""evidence_ids"": [""EVID-00429"", ""EVID-00430"", ""EVID-00431""]}","{""dispute_id"": ""DIS-CASE-0125"", ""status"": ""SUBMITTED""}",DIS-CASE-0125,CASE-0125:CREATE_DISPUTE,APR-0028,,2025-04-05T00:00:00Z
ACT-0057,CASE-0140,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0140"", ""evidence_ids"": [""EVID-00481"", ""EVID-00482"", ""EVID-00483""]}","{""draft"": {""draft_id"": ""DRF-CASE-0140"", ""case_id"": ""CASE-0140"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-928 \u2014 \u20b9433.87"", ""body"": ""Order ORD-928 (payment PAY-0928) was settled \u20b90 against a contractual expectation of \u20b9433.87 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9433.87. Evidence attached: EVID-00481, EVID-00482, EVID-00483"", ""amount"": ""433.87""}, ""draft_id"": ""DRF-CASE-0140""}",DRF-CASE-0140,CASE-0140:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0058,CASE-0140,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0140"", ""evidence_ids"": [""EVID-00481"", ""EVID-00482"", ""EVID-00483""]}","{""dispute_id"": ""DIS-CASE-0140"", ""status"": ""SUBMITTED""}",DIS-CASE-0140,CASE-0140:CREATE_DISPUTE,APR-0029,,2025-04-05T00:00:00Z
ACT-0059,CASE-0062,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0062"", ""evidence_ids"": [""EVID-00211"", ""EVID-00212"", ""EVID-00213""]}","{""draft"": {""draft_id"": ""DRF-CASE-0062"", ""case_id"": ""CASE-0062"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-347 \u2014 \u20b9429.35"", ""body"": ""Order ORD-347 (payment PAY-0347) was settled \u20b95378.94 against a contractual expectation of \u20b95808.29 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9429.35. Evidence attached: EVID-00211, EVID-00212, EVID-00213"", ""amount"": ""429.35""}, ""draft_id"": ""DRF-CASE-0062""}",DRF-CASE-0062,CASE-0062:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0060,CASE-0062,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0062"", ""evidence_ids"": [""EVID-00211"", ""EVID-00212"", ""EVID-00213""]}","{""dispute_id"": ""DIS-CASE-0062"", ""status"": ""SUBMITTED""}",DIS-CASE-0062,CASE-0062:CREATE_DISPUTE,APR-0030,,2025-04-05T00:00:00Z
ACT-0061,CASE-0098,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0098"", ""evidence_ids"": [""EVID-00336"", ""EVID-00337"", ""EVID-00338""]}","{""draft"": {""draft_id"": ""DRF-CASE-0098"", ""case_id"": ""CASE-0098"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-656 \u2014 \u20b9389.35"", ""body"": ""Order ORD-656 (payment PAY-0656) was settled \u20b90 against a contractual expectation of \u20b9524.28 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9389.35. Evidence attached: EVID-00336, EVID-00337, EVID-00338"", ""amount"": ""389.35""}, ""draft_id"": ""DRF-CASE-0098""}",DRF-CASE-0098,CASE-0098:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0062,CASE-0098,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0098"", ""evidence_ids"": [""EVID-00336"", ""EVID-00337"", ""EVID-00338""]}","{""dispute_id"": ""DIS-CASE-0098"", ""status"": ""SUBMITTED""}",DIS-CASE-0098,CASE-0098:CREATE_DISPUTE,APR-0031,,2025-04-05T00:00:00Z
ACT-0063,CASE-0055,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0055"", ""evidence_ids"": [""EVID-00188"", ""EVID-00189"", ""EVID-00190""]}","{""draft"": {""draft_id"": ""DRF-CASE-0055"", ""case_id"": ""CASE-0055"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-294 \u2014 \u20b9310.74"", ""body"": ""Order ORD-294 (payment PAY-0294) was settled \u20b90 against a contractual expectation of \u20b9310.74 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9310.74. Evidence attached: EVID-00188, EVID-00189, EVID-00190"", ""amount"": ""310.74""}, ""draft_id"": ""DRF-CASE-0055""}",DRF-CASE-0055,CASE-0055:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0064,CASE-0055,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0055"", ""evidence_ids"": [""EVID-00188"", ""EVID-00189"", ""EVID-00190""]}","{""dispute_id"": ""DIS-CASE-0055"", ""status"": ""SUBMITTED""}",DIS-CASE-0055,CASE-0055:CREATE_DISPUTE,APR-0032,,2025-04-05T00:00:00Z
ACT-0065,CASE-0040,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0040"", ""evidence_ids"": [""EVID-00137"", ""EVID-00138"", ""EVID-00139""]}","{""draft"": {""draft_id"": ""DRF-CASE-0040"", ""case_id"": ""CASE-0040"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-182 \u2014 \u20b9300.05"", ""body"": ""Order ORD-182 (payment PAY-0182) was settled \u20b911894.06 against a contractual expectation of \u20b917031.96 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9300.05. Evidence attached: EVID-00137, EVID-00138, EVID-00139"", ""amount"": ""300.05""}, ""draft_id"": ""DRF-CASE-0040""}",DRF-CASE-0040,CASE-0040:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0066,CASE-0040,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0040"", ""evidence_ids"": [""EVID-00137"", ""EVID-00138"", ""EVID-00139""]}","{""dispute_id"": ""DIS-CASE-0040"", ""status"": ""SUBMITTED""}",DIS-CASE-0040,CASE-0040:CREATE_DISPUTE,APR-0033,,2025-04-05T00:00:00Z
ACT-0067,CASE-0009,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0009"", ""evidence_ids"": [""EVID-00029"", ""EVID-00030"", ""EVID-00031""]}","{""draft"": {""draft_id"": ""DRF-CASE-0009"", ""case_id"": ""CASE-0009"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-36 \u2014 \u20b9294.24"", ""body"": ""Order ORD-36 (payment PAY-0036) was settled \u20b94018.73 against a contractual expectation of \u20b94312.97 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9294.24. Evidence attached: EVID-00029, EVID-00030, EVID-00031"", ""amount"": ""294.24""}, ""draft_id"": ""DRF-CASE-0009""}",DRF-CASE-0009,CASE-0009:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0068,CASE-0009,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0009"", ""evidence_ids"": [""EVID-00029"", ""EVID-00030"", ""EVID-00031""]}","{""dispute_id"": ""DIS-CASE-0009"", ""status"": ""SUBMITTED""}",DIS-CASE-0009,CASE-0009:CREATE_DISPUTE,APR-0034,,2025-04-05T00:00:00Z
ACT-0069,CASE-0052,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0052"", ""evidence_ids"": [""EVID-00177"", ""EVID-00178"", ""EVID-00179""]}","{""draft"": {""draft_id"": ""DRF-CASE-0052"", ""case_id"": ""CASE-0052"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-282 \u2014 \u20b9292.62"", ""body"": ""Order ORD-282 (payment PAY-0282) was settled \u20b95120.0 against a contractual expectation of \u20b95412.62 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9292.62. Evidence attached: EVID-00177, EVID-00178, EVID-00179"", ""amount"": ""292.62""}, ""draft_id"": ""DRF-CASE-0052""}",DRF-CASE-0052,CASE-0052:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0070,CASE-0052,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0052"", ""evidence_ids"": [""EVID-00177"", ""EVID-00178"", ""EVID-00179""]}","{""dispute_id"": ""DIS-CASE-0052"", ""status"": ""SUBMITTED""}",DIS-CASE-0052,CASE-0052:CREATE_DISPUTE,APR-0035,,2025-04-05T00:00:00Z
ACT-0071,CASE-0041,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0041"", ""evidence_ids"": [""EVID-00140"", ""EVID-00141"", ""EVID-00142""]}","{""draft"": {""draft_id"": ""DRF-CASE-0041"", ""case_id"": ""CASE-0041"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-188 \u2014 \u20b9291.94"", ""body"": ""Order ORD-188 (payment PAY-0188) was settled \u20b90 against a contractual expectation of \u20b9291.94 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9291.94. Evidence attached: EVID-00140, EVID-00141, EVID-00142"", ""amount"": ""291.94""}, ""draft_id"": ""DRF-CASE-0041""}",DRF-CASE-0041,CASE-0041:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0072,CASE-0041,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0041"", ""evidence_ids"": [""EVID-00140"", ""EVID-00141"", ""EVID-00142""]}","{""dispute_id"": ""DIS-CASE-0041"", ""status"": ""SUBMITTED""}",DIS-CASE-0041,CASE-0041:CREATE_DISPUTE,APR-0036,,2025-04-05T00:00:00Z
ACT-0073,CASE-0075,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0075"", ""evidence_ids"": [""EVID-00257"", ""EVID-00258"", ""EVID-00259""]}","{""draft"": {""draft_id"": ""DRF-CASE-0075"", ""case_id"": ""CASE-0075"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-461 \u2014 \u20b9291.94"", ""body"": ""Order ORD-461 (payment PAY-0461) was settled \u20b90 against a contractual expectation of \u20b9291.94 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9291.94. Evidence attached: EVID-00257, EVID-00258, EVID-00259"", ""amount"": ""291.94""}, ""draft_id"": ""DRF-CASE-0075""}",DRF-CASE-0075,CASE-0075:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0074,CASE-0075,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0075"", ""evidence_ids"": [""EVID-00257"", ""EVID-00258"", ""EVID-00259""]}","{""dispute_id"": ""DIS-CASE-0075"", ""status"": ""SUBMITTED""}",DIS-CASE-0075,CASE-0075:CREATE_DISPUTE,APR-0037,,2025-04-05T00:00:00Z
ACT-0075,CASE-0087,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0087"", ""evidence_ids"": [""EVID-00297"", ""EVID-00298"", ""EVID-00299""]}","{""draft"": {""draft_id"": ""DRF-CASE-0087"", ""case_id"": ""CASE-0087"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-579 \u2014 \u20b9291.94"", ""body"": ""Order ORD-579 (payment PAY-0579) was settled \u20b90 against a contractual expectation of \u20b9291.94 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9291.94. Evidence attached: EVID-00297, EVID-00298, EVID-00299"", ""amount"": ""291.94""}, ""draft_id"": ""DRF-CASE-0087""}",DRF-CASE-0087,CASE-0087:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0076,CASE-0087,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0087"", ""evidence_ids"": [""EVID-00297"", ""EVID-00298"", ""EVID-00299""]}","{""dispute_id"": ""DIS-CASE-0087"", ""status"": ""SUBMITTED""}",DIS-CASE-0087,CASE-0087:CREATE_DISPUTE,APR-0038,,2025-04-05T00:00:00Z
ACT-0077,CASE-0106,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0106"", ""evidence_ids"": [""EVID-00361"", ""EVID-00362"", ""EVID-00363""]}","{""draft"": {""draft_id"": ""DRF-CASE-0106"", ""case_id"": ""CASE-0106"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-699 \u2014 \u20b9284.84"", ""body"": ""Order ORD-699 (payment PAY-0699) was settled \u20b90 against a contractual expectation of \u20b9284.84 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9284.84. Evidence attached: EVID-00361, EVID-00362, EVID-00363"", ""amount"": ""284.84""}, ""draft_id"": ""DRF-CASE-0106""}",DRF-CASE-0106,CASE-0106:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0078,CASE-0106,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0106"", ""evidence_ids"": [""EVID-00361"", ""EVID-00362"", ""EVID-00363""]}","{""dispute_id"": ""DIS-CASE-0106"", ""status"": ""SUBMITTED""}",DIS-CASE-0106,CASE-0106:CREATE_DISPUTE,APR-0039,,2025-04-05T00:00:00Z
ACT-0079,CASE-0099,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0099"", ""evidence_ids"": [""EVID-00339"", ""EVID-00340"", ""EVID-00341""]}","{""draft"": {""draft_id"": ""DRF-CASE-0099"", ""case_id"": ""CASE-0099"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-663 \u2014 \u20b9257.29"", ""body"": ""Order ORD-663 (payment PAY-0663) was settled \u20b96261.54 against a contractual expectation of \u20b96518.83 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9257.29. Evidence attached: EVID-00339, EVID-00340, EVID-00341"", ""amount"": ""257.29""}, ""draft_id"": ""DRF-CASE-0099""}",DRF-CASE-0099,CASE-0099:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0080,CASE-0099,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0099"", ""evidence_ids"": [""EVID-00339"", ""EVID-00340"", ""EVID-00341""]}","{""dispute_id"": ""DIS-CASE-0099"", ""status"": ""SUBMITTED""}",DIS-CASE-0099,CASE-0099:CREATE_DISPUTE,APR-0040,,2025-04-05T00:00:00Z
ACT-0081,CASE-0104,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0104"", ""evidence_ids"": [""EVID-00355"", ""EVID-00356"", ""EVID-00357""]}","{""draft"": {""draft_id"": ""DRF-CASE-0104"", ""case_id"": ""CASE-0104"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-681 \u2014 \u20b9219.92"", ""body"": ""Order ORD-681 (payment PAY-0681) was settled \u20b92644.44 against a contractual expectation of \u20b92864.36 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9219.92. Evidence attached: EVID-00355, EVID-00356, EVID-00357"", ""amount"": ""219.92""}, ""draft_id"": ""DRF-CASE-0104""}",DRF-CASE-0104,CASE-0104:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0082,CASE-0104,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0104"", ""evidence_ids"": [""EVID-00355"", ""EVID-00356"", ""EVID-00357""]}","{""dispute_id"": ""DIS-CASE-0104"", ""status"": ""SUBMITTED""}",DIS-CASE-0104,CASE-0104:CREATE_DISPUTE,APR-0041,,2025-04-05T00:00:00Z
ACT-0083,CASE-0095,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0095"", ""evidence_ids"": [""EVID-00323"", ""EVID-00324"", ""EVID-00325""]}","{""draft"": {""draft_id"": ""DRF-CASE-0095"", ""case_id"": ""CASE-0095"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-628 \u2014 \u20b9181.72"", ""body"": ""Order ORD-628 (payment PAY-0628) was settled \u20b92305.58 against a contractual expectation of \u20b92487.3 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9181.72. Evidence attached: EVID-00323, EVID-00324, EVID-00325"", ""amount"": ""181.72""}, ""draft_id"": ""DRF-CASE-0095""}",DRF-CASE-0095,CASE-0095:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0084,CASE-0095,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0095"", ""evidence_ids"": [""EVID-00323"", ""EVID-00324"", ""EVID-00325""]}","{""dispute_id"": ""DIS-CASE-0095"", ""status"": ""SUBMITTED""}",DIS-CASE-0095,CASE-0095:CREATE_DISPUTE,APR-0042,,2025-04-05T00:00:00Z
ACT-0085,CASE-0058,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0058"", ""evidence_ids"": [""EVID-00198"", ""EVID-00199"", ""EVID-00200""]}","{""draft"": {""draft_id"": ""DRF-CASE-0058"", ""case_id"": ""CASE-0058"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-316 \u2014 \u20b9175.78"", ""body"": ""Order ORD-316 (payment PAY-0316) was settled \u20b95082.38 against a contractual expectation of \u20b96880.68 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9175.78. Evidence attached: EVID-00198, EVID-00199, EVID-00200"", ""amount"": ""175.78""}, ""draft_id"": ""DRF-CASE-0058""}",DRF-CASE-0058,CASE-0058:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0086,CASE-0058,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0058"", ""evidence_ids"": [""EVID-00198"", ""EVID-00199"", ""EVID-00200""]}","{""dispute_id"": ""DIS-CASE-0058"", ""status"": ""SUBMITTED""}",DIS-CASE-0058,CASE-0058:CREATE_DISPUTE,APR-0043,,2025-04-05T00:00:00Z
ACT-0087,CASE-0136,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0136"", ""evidence_ids"": [""EVID-00465"", ""EVID-00466"", ""EVID-00467"", ""EVID-00468""]}","{""draft"": {""draft_id"": ""DRF-CASE-0136"", ""case_id"": ""CASE-0136"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-884 \u2014 \u20b9144.17"", ""body"": ""Order ORD-884 (payment PAY-0884) was settled \u20b95820.53 against a contractual expectation of \u20b95964.7 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9144.17. Evidence attached: EVID-00465, EVID-00466, EVID-00467, EVID-00468"", ""amount"": ""144.17""}, ""draft_id"": ""DRF-CASE-0136""}",DRF-CASE-0136,CASE-0136:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
